property,value,unit,source,source_url,retrieved_at,notes,material_id,phase,structure,space_group,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
crystal_structure,Body-centered Cubic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,Estructura cristalina de referencia de la compilación.,K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
space_group,Im_3m,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,Número de grupo espacial: 229.,K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
lattice_constants,"532.8, 532.8, 532.8",pm,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
lattice_angles,"π/2, π/2, π/2",rad,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
thermal_conductivity,100,W/(m·K),Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
electrical_conductivity,14,MS/m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
electrical_resistivity,7.000000000002e-08,Ω·m,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
electrical_type,Conductor,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
magnetic_type,paramagnetic,,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
magnetic_susceptibility_mass,6.7e-09,m³/kg,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
magnetic_susceptibility_molar,2.62e-10,m³/mol,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
magnetic_susceptibility_volume,5.74e-06,adimensional,Periodic Table Data Complete 1.0.1 · compilación secundaria,https://en.wikipedia.org/wiki/Potassium,2026-07-24T22:17:53+00:00,"Valor de referencia secundario; puede depender de fase, pureza, orientación y temperatura.",K-reference,elemento puro · condiciones de referencia,Body-centered Cubic,Im_3m,532.8,532.8,532.8,π/2,π/2,π/2
